SIGLA,DISCIPLINA,RECOMENDAÇÃO
MCTA025-13,Sistemas Distribuídos,Redes de Computadores; Algoritmos e Estruturas de Dados I;  Algoritmos e Estruturas de Dados II; Programação Estruturada; Processamento da Informação; Programação Orientada a Objetos; Sistemas Operacionais; Arquitetura de Computadores; Sistemas Digitais; Circuitos Digitais; Natureza da Informação; Fenômenos Eletromagnéticos
ESZI014-17,Sistemas Inteligentes,Programação Estruturada; Álgebra Linear
MCZA028-13,Sistemas Multiagentes,Processamento da Informação; Programação Orientada a Objetos
MCZA029-13,Sistemas Multimídia,Computação Gráfica
MCZA047-17,Sistemas Multi-Robôs Sociais,Inteligência Artificial; Sistemas Multiagentes
MCTA026-13,Sistemas Operacionais,Arquitetura de Computadores; Sistemas Digitais; Circuitos Digitais; Natureza da Informação; Fenômenos Eletromagnéticos; Algoritmos e Estruturas de Dados II; Algoritmos e Estruturas de Dados I; Programação Estruturada; Processamento da Informação
MCZA050-17,Técnicas Avançadas de Programação,Algoritmos e Estruturas de Dados I
NHZ5019-22,Tecnologias da Informação e Comunicação na Educação,Não há
MCZB033-17,Teoria da Recursão e Computabilidade,Linguagens Formais e Automata ou Teoria Aritmética dos Números; Matemática Discreta
MCZB032-13,Teoria das Filas,Cálculo de Probabilidade
MCZA048-17,Teoria Espectral de Grafos,Álgebra Linear; Teoria dos Grafos
MCZA049-17,Tópicos Emergentes em Banco de Dados,Banco de Dados
BCL0307-15,Transformações Químicas,Estrutura da Matéria
MCZA030-17,Vida Artificial na Computação,Não há
ESZA019-17,Visão Computacional,Fundamentos de Robótica
MCZA052-22,Vizualização de Dados e Informações,Algoritmos e Estruturas de Dados I; Banco de Dados; Programação Orientada a Objetos
MCZA031-13,Web Semântica,Inteligência Artificial
